Línea ATM,LINEA SISTAU,LM_ID,Línea SUBE,Empresa,CUIT,,Jurisdicción,Grupo tarifario,Grupo Empresario,Observación,codlin,parque
L166,166,170,LINEA 166,EMPRESA LINEA 216 S.A.T.,30546228963,TRUE,JN,S.G.I.,Línea 216,,01010001660,L166
L236,236,233,LINEA 236,EMPRESA LINEA 216 S.A.T.,30546228963,TRUE,PROV,U.P.A.,L216,,06010002360,L236
L269,269,234,LINEA 269,EMPRESA LINEA 216 S.A.T.,30546228963,TRUE,PROV,U.P.A.,L216,,06010002690,L269
L395,395,235,LINEA 395,EMPRESA LINEA 216 S.A.T.,30546228963,TRUE,PROV,U.P.A.,L216,,06010003950,L395
L441,441,236,LINEA 441,EMPRESA LINEA 216 S.A.T.,30546228963,TRUE,PROV,U.P.A.,L216,,06010004410,L441
L443B,443B,237,LINEA 443,EMPRESA LINEA 216 S.A.T.,30546228963,TRUE,PROV,U.P.A.,L216,,06010004432,L443B
L504ITU,IT504,954,BSAS_LINEA_504_ITUZAINGO,EMPRESA LINEA 216 S.A.T.,30546228963,TRUE,ITUZAINGO,U.M.A.1.,L216,,06014105040,L504ITU
L504MLO,ME504,365,LINEA 504A,EMPRESA LINEA 216 S.A.T.,30546228963,TRUE,MERLO,U.M.A.1.,L216,,06015395040,L504MLO
L634MOR,MO634,232,LINEA 634,EMPRESA LINEA 216 S.A.T.,30546228963,FALSE,MORON,U.M.A.1.,L216,,06015686340,L634MOR
L012,12,41,LINEA 12,TRANSPORTES AUTOMOTORES CALLAO S.A.,30546229196,TRUE,JN,D.F.,Callao,,01010000120,L012
L124,124,621,LINEA 124,TRANSPORTES AUTOMOTORES CALLAO S.A.,30546229196,FALSE,JN,S.G.I.,Callao,,01010001240,L124
L096,96,117,LINEA 96,TRANSPORTE IDEAL SAN JUSTO S.A.,30546229641,TRUE,JN,S.G.I.,Ideal,,01010000960,L096
L185,185,139,LINEA 185,TRANSPORTE IDEAL SAN JUSTO S.A.,30546229641,TRUE,JN,S.G.I.,Ideal,,01010001850,L185
L205,205,297,LINEA 205,TRANSPORTE IDEAL SAN JUSTO S.A.,30546229641,TRUE,PROV,U.P.A.,Ideal,,06010002050,L205
L621LMZ,LM621,395,LINEA 621,TRANSPORTE IDEAL SAN JUSTO S.A.,30546229641,FALSE,LA MATANZA,U.M.A.1.,Ideal,,06014276210,L621LMZ
L289,289,193,LINEA 289,COMPAÑIA NOROESTE S.A.T.,30546230739,TRUE,PROV,U.P.A.,Noroeste,,06010002890,L289
L304,304,192,LINEA 304,COMPAÑIA NOROESTE S.A.T.,30546230739,TRUE,PROV,U.P.A.,Noroeste,,06010003040,L304
L343,343,191,LINEA 343,COMPAÑIA NOROESTE S.A.T.,30546230739,FALSE,PROV,U.P.A.,Noroeste,,06010003430,L343
L042,42,57,LINEA 42,TRANSPORTES COLEGIALES S.A.C.I.,30546231344,FALSE,JN,D.F.,,,01010000420,L042
L109,109,67,LINEA 109,TRANSPORTE NUEVE DE JULIO SAC.,30546231417,FALSE,JN,D.F.,,,01010001090,L109
L136,136,919,LINEA 136 BS AS,SARGENTO CABRAL S.A.DE TRANSPORTE,30546234173,TRUE,JN,S.G.I.,Nueva Metropol,,01010001360,L136
L163,163,920,LINEA 163 BS AS,SARGENTO CABRAL S.A.DE TRANSPORTE,30546234173,TRUE,JN,S.G.I.,Nueva Metropol,,01010001630,L163
L182,182,138,LINEA 182,SARGENTO CABRAL S.A.DE TRANSPORTE,30546234173,TRUE,JN,S.G.I.,Nueva Metropol,,01010001820,L182
L741JCP,JP741A,401,LINEA 741,SARGENTO CABRAL S.A.DE TRANSPORTE,30546234173,FALSE,JOSE C. PAZ,U.M.A.1.,Nueva Metropol,,06014127410,L741JCP
L307,307,238,LINEA 307,EMPRESA LINEA SIETE SAT,30546236532,FALSE,PROV,U.P.A.,EX Quilmes,,06010003070,L307
L039,39,146,LINEA 39,TRANSPORTES SANTA FE S.A.C.I.,30546241374,FALSE,JN,D.F.,,,01010000390,L039
L202,202,312,LINEA 202,TRANSPORTE LA UNION SA,30546242982,FALSE,PROV,U.P.A.,,,06010002020,L202
L106,106,66,LINEA 106,COLECTIVEROS UNIDOS S.A.,30546243970,FALSE,JN,D.F.,NUDO,,01010001060,L106
L032,32,86,LINEA 32A,EL PUENTE S.A.T.,30546246945,TRUE,JN,S.G.I.,El Puente,,01010000320,L032
L075,75,89,LINEA 75,EL PUENTE S.A.T.,30546246945,TRUE,JN,S.G.I.,El Puente,,01010000750,L075
L128,128,77,LINEA 128,EL PUENTE S.A.T.,30546246945,TRUE,JN,S.G.I.,El Puente,,01010001280,L128
L158,158,96,LINEA 158,EL PUENTE S.A.T.,30546246945,FALSE,JN,S.G.I.,El Puente,,01010001580,L158
L057,57,103,LINEA 57,TRANSPORTES ATLANTIDA S.A.C.,30546247003,TRUE,JN,S.G.II.,Atlántida,,01010000570,L057
L410,410,392,LINEA 410,TRANSPORTES ATLANTIDA S.A.C.,30546247003,TRUE,PROV,U.P.A.M,Atlántida,,06010004100,L410
L429,429,393,LINEA 429,TRANSPORTES ATLANTIDA S.A.C.,30546247003,TRUE,PROV,U.P.A.M,Atlántida,,06010004290,L429
L501MCD,LIN1,906,LINEA 001 MER,TRANSPORTES ATLANTIDA S.A.C.,30546247003,TRUE,MERCEDES,U.M.A.2.,Atlántida,No está SISTAU,06015325010,L501MCD
L502MCD,LIN2,907,LINEA 002 MER,TRANSPORTES ATLANTIDA S.A.C.,30546247003,FALSE,MERCEDES,U.M.A.2.,Atlántida,No está SISTAU,06015325020,
L110,110,68,LINEA 110,GENERAL PUEYRREDON S.A.T.C.I.,30546247240,FALSE,JN,S.G.I.,,,01010001100,L110
L215,215,243,LINEA 215,EMPRESA NUEVE DE JULIO S.A.T.,30546247860,TRUE,PROV,U.P.A.,Nueve de Julio,,06010002150,L215
L225,225,423,LINEA 225,EMPRESA NUEVE DE JULIO S.A.T.,30546247860,TRUE,PROV,U.P.A.,Nueve de Julio,,06010002250,L225
L414,414,437,LINEA 414,EMPRESA NUEVE DE JULIO S.A.T.,30546247860,TRUE,PROV,U.P.A.M,Nueve de Julio,,06010004140,L414
L504LPL,LP504,412,LINEA OESTE,EMPRESA NUEVE DE JULIO S.A.T.,30546247860,TRUE,LA PLATA,U.M.A.2.,Nueve de Julio,,06014415040,L504LPL
L508LPL,LP508,414,LINEA 508C,EMPRESA NUEVE DE JULIO S.A.T.,30546247860,TRUE,LA PLATA,U.M.A.2.,Nueve de Julio,,06014415080,L508LPL
L561LPL,LP561,416,LINEA 561B,EMPRESA NUEVE DE JULIO S.A.T.,30546247860,FALSE,LA PLATA,U.M.A.2.,Nueve de Julio,,06014415610,L561LPL
L239A,239A,195,LINEA 239A,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,30546250241,TRUE,PROV,U.P.A.,COVEMA,,06010002391,L239A
L278,278,196,LINEA 278,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,30546250241,TRUE,PROV,U.P.A.,COVEMA,,06010002780,L278
L281,281,197,LINEA 281,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,30546250241,TRUE,PROV,U.P.A.,COVEMA,,06010002810,L281
L293A,293A,198,LINEA 293B,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,30546250241,TRUE,PROV,U.P.A.,COVEMA,Letra de línea invertida en SUBE,06010002931,L293A
L323,323,199,LINEA 323,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,30546250241,TRUE,PROV,U.P.A.,COVEMA,,06010003230,L323
L585QUI,QU585,194,LINEA 585,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,30546250241,TRUE,QUILMES,U.M.A.1.,COVEMA,,06016585850,L585QUI
L586QUI,QU586,630,LINEA 586,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,30546250241,FALSE,QUILMES,U.M.A.1.,COVEMA,No está SISTAU,06016585860,L586QUI
L103,103,120,LINEA 103,TRANSPORTES QUIRNO COSTA S.A.C.I.,30546250489,FALSE,JN,S.G.I.,,,01010001030,L103
L184,184,71,LINEA 184,LA CENTRAL DE VICENTE LOPEZ S.A.,30546250551,FALSE,JN,S.G.I.,Misión Buenos Aires,,01010001840,L184
L021,21,84,LINEA 21,EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A,30546250799,TRUE,JN,S.G.I.,DOTA,,01010000210,L021
L108,108,59,LINEA 108,EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A,30546250799,FALSE,JN,D.F.,DOTA,,01010001080,L108
L214,214,324,LINEA 214,UNION PLATENSE SRL,30546252910,TRUE,PROV,U.P.A.,Unión Platense,,06010002140,L214
L273,273,330,LINEA 273,UNION PLATENSE SRL,30546252910,TRUE,PROV,U.P.A.,Unión Platense,,06010002730,L273
L418,418,331,LINEA 418,UNION PLATENSE SRL,30546252910,TRUE,PROV,U.P.A.M,Unión Platense,,06010004180,L418
L501LPL,LP501,510,NORTE MUNICIPAL,UNION PLATENSE SRL,30546252910,TRUE,LA PLATA,U.M.A.2.,Unión Platense,,06014415010,L501LPL
L502LPL,LP502,520,LINEA SUR MUNICIPAL,UNION PLATENSE SRL,30546252910,TRUE,LA PLATA,U.M.A.2.,Unión Platense,,06014415020,L502LPL
L520LPL,LP520,332,LINEA 520C,UNION PLATENSE SRL,30546252910,FALSE,LA PLATA,U.M.A.2.,Unión Platense,,06014415200,L520LPL
L085,85,110,LINEA 85,SOCIEDAD ANONIMA EXPRESO SUDOESTE,30546253216,FALSE,JN,S.G.I.,,,01010000850,L085
L180,180,137,LINEA 180,LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS,30546253526,TRUE,JN,S.G.I.,Vecinal de Matanza,,01010001800,L180
L630LMZ,LM630,396,LINEA 630,LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS,30546253526,FALSE,LA MATANZA,U.M.A.1.,Vecinal de Matanza,,06014276300,L630LMZ
L104,104,157,LINEA 104,EMPRESA DE TRANSPORTES 104 S.R.L.,30546253690,FALSE,JN,S.G.I.,Plaza,,01010001040,L104
L168,168,133,LINEA 168,EXPRESO SAN ISIDRO S.A.T.C.I.F.I.,30546254379,FALSE,JN,S.G.I.,SAN ISIDRO,,01010001680,L168
L283,283,185,LINEA 283,CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL,30546254514,TRUE,PROV,U.P.A.,Andrade,,06010002830,L283
L523LAN,LA523,184,LINEA 523,CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL,30546254514,FALSE,LANUS,U.M.A.1.,Andrade,,06014345230,L523LAN
L548LZA,LZ548,189,LINEA 548,EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL,30546255057,FALSE,LOMAS DE ZAMORA,U.M.A.1.,,,06014905480,L548LZA
L181,181,97,LINEA 181,TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA,30546260107,FALSE,JN,S.G.I.,Controlada 3,,01010001810,L181
L277,277,216,LINEA 277,CIA LA PAZ AMADOR MOURE SACIFIYA,30546296683,TRUE,PROV,U.P.A.,Autobuses,,06010002770,L277
L542LZA,LZ542,186,LINEA 542,CIA LA PAZ AMADOR MOURE SACIFIYA,30546296683,TRUE,LOMAS DE ZAMORA,U.M.A.1.,Autobuses,,06014905420,L542LZA
L551LZA,LZ551,187,LINEA 551,CIA LA PAZ AMADOR MOURE SACIFIYA,30546296683,FALSE,LOMAS DE ZAMORA,U.M.A.1.,Autobuses,,06014905510,L551LZA
L047,47,148,LINEA 47,LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.,30546304198,FALSE,JN,D.F.,Chicago,,01010000470,L047
L295,295,284,LINEA 295,MICRO OMNIBUS O´HIGGINS S.A.T.,30546319861,FALSE,PROV,U.P.A.,MO 45,,06010002950,L295
L088,88,114,LINEA 88,LINEA EXPRESO LINIERS S.A.I.Y C.,30546320339,TRUE,JN,S.G.II.,Ideal,,01010000880,L088
L502CAN,CÑ502,394,LINEA 502,LINEA EXPRESO LINIERS S.A.I.Y C.,30546320339,FALSE,CAÑUELAS,U.M.A.2.,Ideal,,06011345020,L502CAN
L238,238,323,LINEA 238,TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.,30546320959,TRUE,PROV,U.P.A.,TUM,,06010002380,L238
L297,297,326,LINEA 297,TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.,30546320959,TRUE,PROV,U.P.A.,TUM,,06010002970,L297
L500MLO,ME500,353,LINEA 500D,TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.,30546320959,FALSE,MERLO,U.M.A.1.,TUM,,06015395000,L500MLO
L160,160,127,LINEA 160,MICRO OMNIBUS SUR S.A.C.,30546321181,FALSE,JN,S.G.I.,,,01010001600,L160
L015,15,142,LINEA 15,TRANSPORTES SUR-NOR C.I.S.A.,30546329654,FALSE,JN,S.G.I.,,,01010000150,L015
L245,245,241,LINEA 245,EMPRESA MONTE GRANDE S.A. LINEA 501,30546332965,TRUE,PROV,U.P.A.,Monte Grande,,06010002450,L245
L394,394,242,LINEA 394,EMPRESA MONTE GRANDE S.A. LINEA 501,30546332965,TRUE,PROV,U.P.A.,Monte Grande,,06010003940,L394
L501EEC,EE501,355,LINEA 501C,EMPRESA MONTE GRANDE S.A. LINEA 501,30546332965,FALSE,ESTEBAN ECHEVERRIA,U.M.A.1.,Monte Grande,,06012605010,L501EEC
L053,53,105,LINEA 53,LINEA 213 S.A. DE TRANSPORTE,30546333333,FALSE,JN,S.G.I.,,,01010000530,L053
L068,68,99,LINEA 68,TRANSPORTES SESENTA Y OCHO S.R.L.,30546335484,FALSE,JN,D.F.,,,01010000680,L068
L036,36,144,LINEA 36,EMPRESA DE TRANSP. MARIANO MORENO S.A.,30546335794,FALSE,JN,S.G.I.,Plaza,,01010000360,L036
L247,247,247,LINEA 247,EXPRESO NUEVE DE JULIO S.A.,30546336928,FALSE,PROV,U.P.A.,,,06010002470,L247
L080,80,154,LINEA 80,TRANSPORTES NUEVA CHICAGO C.I.S.A.,30546337088,FALSE,JN,S.G.I.,Chicago,,01010000800,L080
L029,29,143,LINEA 29,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,30546337150,FALSE,JN,S.G.I.,,,01010000290,L029
L059,59,107,LINEA 59,MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I,30546337398,FALSE,JN,S.G.I.,,,01010000590,L059
L095,95,155,LINEA 95,EMPRESA ANTARTIDA ARGENTINA S.A.T.,30546339374,FALSE,JN,S.G.I.,,,01010000950,L095
L067,67,108,LINEA 67,TRANSPORTES DEL TEJAR S.A.,30546339757,FALSE,JN,S.G.I.,,,01010000670,L067
L004,4,129,LINEA 4,TRANSPORTES SOL DE MAYO C.I.S.A.,30546340534,FALSE,JN,D.F.,Ideal,,01010000040,L004
L019,19,100,LINEA 19,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,30546340607,TRUE,JN,S.G.I.,ERSA,,01010000190,L019
L153,153,923,LINEA 153 BS AS,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,30546340607,TRUE,JN,S.G.I.,ERSA,,01010001530,L153
L253,253,921,LINEA 253 BS AS,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,30546340607,TRUE,PROV,U.P.A.,ERSA,,06010002530,L253
L321,321,922,LINEA 321 BS AS,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,30546340607,FALSE,PROV,U.P.A.,ERSA,,06010003210,L321
L024,24,85,LINEA 24,EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.,30546341077,FALSE,JN,S.G.I.,NUDO,,01010000240,L024
L071,71,65,LINEA 71,LINEA 71 S.A.,30546341212,FALSE,JN,S.G.I.,,,01010000710,L071
L126,126,161,LINEA 126,CARDENAS S.A. EMPRESA DE TRANSPORTES,30546343053,FALSE,JN,S.G.I.,,,01010001260,L126
L092,92,131,LINEA 92,EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.,30546343126,FALSE,JN,S.G.I.,,,01010000920,L092
L328,328,327,LINEA 328,TRANSPORTES VILLA BOSCH SAC el,30546343363,FALSE,PROV,U.P.A.,,,06010003280,L328
L020,20,73,LINEA 20,TRANSPORTE LARRAZABAL C.I.S.A.,30546344041,TRUE,JN,S.G.I.,DOTA,,01010000200,L020
L117,117,94,LINEA 117,TRANSPORTE LARRAZABAL C.I.S.A.,30546344041,TRUE,JN,S.G.I.,DOTA,,01010001170,L117
L161,161,80,LINEA 161,TRANSPORTE LARRAZABAL C.I.S.A.,30546344041,TRUE,JN,S.G.I.,DOTA,,01010001610,L161
L188,188,72,LINEA 188,TRANSPORTE LARRAZABAL C.I.S.A.,30546344041,TRUE,JN,S.G.I.,DOTA,,01010001880,L188
L421,421,403,LINEA 421,TRANSPORTE LARRAZABAL C.I.S.A.,30546344041,FALSE,PROV,U.P.A.,DOTA,,06010004210,L421
L333,333,624,LINEA 333,MICRO OMNIBUS GENERAL SAN MARTIN SAC,30546344734,TRUE,PROV,U.P.A.,San Martín,,06010003330,L333
L407,407,280,LINEA 407,MICRO OMNIBUS GENERAL SAN MARTIN SAC,30546344734,TRUE,PROV,U.P.A.,San Martín,,06010004070,L407
L437,437,281,LINEA 437,MICRO OMNIBUS GENERAL SAN MARTIN SAC,30546344734,TRUE,PROV,U.P.A.,San Martín,,06010004370,L437
L707SIS,SI707,278,LINEA 707,MICRO OMNIBUS GENERAL SAN MARTIN SAC,30546344734,FALSE,SAN ISIDRO,U.M.A.1.,San Martín,,06017567070,L707SIS
L070,70,109,LINEA 70,TRANSPORTES 270 S.A.,30546346710,FALSE,JN,S.G.I.,MO 45,,01010000700,L070
L169,169,81,LINEA 169,TRANSPORTE ESCALADA S.A.T.,30546350947,TRUE,JN,S.G.I.,Noroeste,,01010001690,L169
L175,175,82,LINEA 175,TRANSPORTE ESCALADA S.A.T.,30546350947,FALSE,JN,S.G.I.,Noroeste,,01010001750,L175
L257,257,254,LINEA 257,EXPRESO VILLA NUEVA S.A.,30546351005,TRUE,PROV,U.P.A.,Villa Nueva,,06010002570,L257
L580QUI,QU580,256,LINEA 580,EXPRESO VILLA NUEVA S.A.,30546351005,TRUE,QUILMES,U.M.A.1.,Villa Nueva,,06016585800,L580QUI
L582QUI,QU582,257,LINEA 582,EXPRESO VILLA NUEVA S.A.,30546351005,FALSE,QUILMES,U.M.A.1.,Villa Nueva,,06016585820,L582QUI
L354,354,315,LINEA 354,TRANSPORTES AUTOMOTORES LANUS ESTE S.A.,30546351315,FALSE,PROV,U.P.A.,,,06010003540,L354
L318,318,282,LINEA 318,MICRO OMNIBUS MITRE S.A.,30546365235,FALSE,PROV,U.P.A.,,,06010003180,L318
L118,118,159,LINEA 118,MICROOMNIBUS BARRANCAS DE BELGRANO S.A.,30546365782,FALSE,JN,D.F.,,,01010001180,L118
L314,314,265,LINEA 314,LA PRIMERA DE MARTINEZ S.A,30546365855,FALSE,PROV,U.P.A.,,,06010003140,L314
