;PROVINCIA;MUNICIPIO;CUIT;RazonSocial;Linea;AMBA;REC. URB;KM. URB;PAX. URB;Facto rCorr ecKM;Facto r Corre c Rec;Facto r Corre c Pax;Cert Cont;Libro IVA;DDJJ IVA;"Art. 6º Res.
337/
04";"Art. 6º Res.
680/
05";"Art. 7º Res.
680/
05";Cum ple Per miso;Anex o V;Regi men Tarif ario;Cum ple Inc. a;Cum ple Inc. b;Está en Gas oil;"UTA
Cum ple";"CUIT
Valid a";"Res 1 /
12";"Res 422
(Estr uctur a de Cost os)";Habilita do a cobrar;Unid. Habilit en Gasoil;"Unid. NO
Habilit en Gasoil";Litros Go CNRT;Unidad es Compu tables CCP;Agentes computa bles;FC Final
Diciembre (2013);BUENOS AIRES;AZUL;30-64940711-4;TRANSPORTES LA UNION SRL;502;NO;461.889,81;805.200;565.137;0,835;1,000;0,488;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;12,00;0,00;14.540,00;12,00;24,00;1,00000
Diciembre (2013);BUENOS AIRES;AZUL;30-66404965-8;TRANSPORTES EL LIBERTADOR SRL;501;NO;278.835,47;822.538;291.752;0,604;1,000;0,571;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;7,00;4,00;8.247,00;5,86;9,55;0,63636
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;20-17896617-1;LANGE, DANTE RAÚL;520;NO;103.500,77;182.520;13.946;1,000;0,926;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;1,00;2.648,00;2,00;1,80;0,66667
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-54634701-6;LEMOS & RODRIGUEZ S.A.;500;NO;3.986.751,25;1.239.100;2.570.106;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;17,50;0,22;40.423,94;17,50;46,46;0,98765
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-54634701-6;LEMOS & RODRIGUEZ S.A.;505;NO;2.910.894,52;651.555;1.999.940;1,000;0,911;0,909;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,89;0,11;21.256,09;8,89;23,59;0,98765
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-54634701-6;LEMOS & RODRIGUEZ S.A.;507;NO;1.610.195,38;660.853;1.058.555;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;10,94;0,14;21.559,44;10,94;29,04;0,98765
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-54634701-6;LEMOS & RODRIGUEZ S.A.;513;NO;3.662.511,00;736.030;2.427.952;1,000;1,000;1,000;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,85;0,12;24.011,99;9,85;26,14;0,98765
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-54634701-6;LEMOS & RODRIGUEZ S.A.;513EX;NO;776.514,13;249.822;408.596;1,000;0,808;1,000;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;5,47;0,07;8.150,11;5,47;14,52;0,98765
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-54634701-6;LEMOS & RODRIGUEZ S.A.;514;NO;3.872.734,25;905.133;2.680.897;1,000;1,000;0,990;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;14,22;0,18;29.528,73;14,22;37,75;0,98765
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-54634701-6;LEMOS & RODRIGUEZ S.A.;519;NO;2.640.466,25;942.896;1.476.407;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;13,13;0,16;30.760,70;13,13;34,85;0,98765
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71160347-2;BAHÍA TRANSPORTE SAPEM;502;NO;2.428.356,41;687.883;1.598.808;1,000;1,000;1,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,75;0,30;22.711,89;9,75;29,24;0,97059
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71160347-2;BAHÍA TRANSPORTE SAPEM;504;NO;1.649.386,83;896.631;1.130.497;1,000;0,919;0,906;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;12,92;0,39;29.604,14;12,92;38,77;0,97059
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71160347-2;BAHÍA TRANSPORTE SAPEM;519A;NO;1.645.878,38;779.414;1.111.117;1,000;1,000;1,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;10,33;0,31;25.733,97;10,33;30,99;0,97059
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71234878-6;TRANSPORTE AUTOMOTOR SAN GABRIEL S.A.;503;NO;2.055.136,88;912.721;1.399.254;0,707;1,000;1,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;13,19;0,00;21.922,17;13,19;38,06;1,00000
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71234878-6;TRANSPORTE AUTOMOTOR SAN GABRIEL S.A.;506;NO;2.283.709,31;766.846;1.563.449;0,707;0,932;0,933;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;10,02;0,00;18.418,47;10,02;28,91;1,00000
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71234878-6;TRANSPORTE AUTOMOTOR SAN GABRIEL S.A.;509;NO;1.472.064,38;549.395;988.044;0,707;1,000;1,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,12;0,00;13.195,63;8,12;23,42;1,00000
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71234878-6;TRANSPORTE AUTOMOTOR SAN GABRIEL S.A.;512;NO;2.443.230,00;696.318;1.632.741;0,707;1,000;1,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,12;0,00;16.724,50;8,12;23,42;1,00000
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71234878-6;TRANSPORTE AUTOMOTOR SAN GABRIEL S.A.;516;NO;2.249.288,59;675.008;1.551.061;0,707;1,000;0,994;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,13;0,00;16.212,67;9,13;26,35;1,00000
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71234878-6;TRANSPORTE AUTOMOTOR SAN GABRIEL S.A.;517;NO;2.691.013,00;1.135.897;1.812.658;0,707;1,000;0,962;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;13,19;0,00;27.282,53;13,19;38,06;1,00000
Diciembre (2013);BUENOS AIRES;BAHIA BLANCA;30-71234878-6;TRANSPORTE AUTOMOTOR SAN GABRIEL S.A.;518;NO;2.307.347,31;678.978;1.511.388;0,707;1,000;1,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,24;0,00;16.308,03;8,24;23,78;1,00000
Diciembre (2013);BUENOS AIRES;BALCARCE;20-16396185-8;MALENA JULIO DARÍO - EMP. MERCURIO;510;NO;238.598,53;259.411;149.449;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,00;1,14;10.203,18;4,00;7,87;0,77778
Diciembre (2013);BUENOS AIRES;BALCARCE;20-16396185-8;MALENA JULIO DARÍO - EMP. MERCURIO;511;NO;139.302,84;116.160;76.882;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,00;0,86;4.568,82;3,00;5,90;0,77778
Diciembre (2013);BUENOS AIRES;BALCARCE;30-70940610-4;EMPRESA DE VIAJES Y TURISMO EL SERRANITO SRL;512;NO;64.363,00;63.000;9.331;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,50;0,00;2.180,18;1,13;0,50;1,00000
Diciembre (2013);BUENOS AIRES;BALCARCE;30-70940610-4;EMPRESA DE VIAJES Y TURISMO EL SERRANITO SRL;530;NO;10.836,25;36.000;9.496;1,000;1,000;0,510;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,50;0,00;1.245,82;1,13;0,50;1,00000
Diciembre (2013);BUENOS AIRES;BERAZATEGUI;30-52276217-9;MICRO OMNIBUS QUILMES SA COM IND Y FINANC;603;SI;6.261.757,56;2.775.251;5.452.720;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;42,00;0,00;97.861,22;42,00;117,58;1,00000
Diciembre (2013);BUENOS AIRES;BERAZATEGUI;30-52276217-9;MICRO OMNIBUS QUILMES SA COM IND Y FINANC;619;SI;2.935.179,00;1.512.637;2.523.836;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;20,00;0,00;53.338,78;20,00;55,99;1,00000
Diciembre (2013);BUENOS AIRES;BRANDSEN;30-70986951-1;EMPRESA DE TRANSPORTE SANTA RITA S.R.L.;500;SI;342.156,13;410.000;234.491;1,000;0,986;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;5,00;0,00;14.500,00;5,00;12,00;1,00000
Diciembre (2013);BUENOS AIRES;CAMPANA;30-69225833-5;MICRO OMNIBUS TIGRE S.A.;505;SI;1.814.522,63;731.136;1.363.583;0,812;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;14,00;0,00;21.291,00;14,00;42,00;1,00000
Diciembre (2013);BUENOS AIRES;CAMPANA;30-71158328-5;COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA;Z1 R3;SI;680.644,41;407.561;499.690;0,492;0,953;0,989;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,80;0,00;8.314,61;4,14;5,04;1,00000
Diciembre (2013);BUENOS AIRES;CAMPANA;30-71158328-5;COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA;Z1R12;SI;836.261,70;728.321;612.231;0,492;0,982;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;7,20;0,00;14.858,39;6,21;7,56;1,00000
Diciembre (2013);BUENOS AIRES;CAÑUELAS;30-54632033-9;LINEA EXPRESO LINIERS S.A.;C502;SI;399.199,41;211.816;280.939;0,708;0,984;0,954;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,00;0,00;6.665,00;4,00;10,01;1,00000
Diciembre (2013);BUENOS AIRES;CARMEN DE PATAGONES;30-67287875-2;LA COMARCA S.A;CASAS;NO;0,00;0;0;1,000;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);BUENOS AIRES;CARMEN DE PATAGONES;30-67287875-2;LA COMARCA S.A;LB;NO;242.011,75;88.716;217.780;1,000;0,984;0,999;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,75;0,00;3.123,48;3,56;10,67;1,00000
Diciembre (2013);BUENOS AIRES;CARMEN DE PATAGONES;30-67287875-2;LA COMARCA S.A;SBLAS;NO;44.340,00;7.854;4.254;1,000;0,476;0,567;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,25;0,00;276,52;1,19;3,56;1,00000
Diciembre (2013);BUENOS AIRES;CHIVILCOY;30-71147454-0;EMPRESA MUNICIPAL DE TRANSPORTE URBANO DE PASAJEROS SOCIEDAD DEL ESTADO;505;NO;140.555,95;97.869;88.236;0,861;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,59;0,00;1.901,90;1,37;3,84;1,00000
Diciembre (2013);BUENOS AIRES;CHIVILCOY;30-71147454-0;EMPRESA MUNICIPAL DE TRANSPORTE URBANO DE PASAJEROS SOCIEDAD DEL ESTADO;506;NO;388.762,93;818.707;365.340;0,861;1,000;0,715;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;15,41;0,00;15.910,10;13,24;37,16;1,00000
Diciembre (2013);BUENOS AIRES;CORONEL ROSALES;30-70982776-2;COMPAÑIA BELGRANO S.A.;501;NO;209.071,89;151.767;154.891;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,19;0,00;3.876,87;3,19;6,19;1,00000
Diciembre (2013);BUENOS AIRES;CORONEL ROSALES;30-70982776-2;COMPAÑIA BELGRANO S.A.;503;NO;701.515,25;504.870;490.098;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,50;0,00;12.896,84;8,50;16,50;1,00000
Diciembre (2013);BUENOS AIRES;CORONEL ROSALES;30-70982776-2;COMPAÑIA BELGRANO S.A.;503b;NO;318.399,63;221.841;216.463;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,19;0,00;5.666,90;3,19;6,19;1,00000
Diciembre (2013);BUENOS AIRES;CORONEL ROSALES;30-70982776-2;COMPAÑIA BELGRANO S.A.;505;NO;305.038,53;147.168;226.703;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,13;0,00;3.759,39;2,13;4,13;1,00000
Diciembre (2013);BUENOS AIRES;CORONEL ROSALES;30-71088735-3;TURITOUR S.A.;510;NO;331.131,00;254.556;31.848;0,837;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,00;0,00;9.000,00;3,94;9,00;1,00000
Diciembre (2013);BUENOS AIRES;CORONEL ROSALES;33-70982996-9;COMPAÑIA PUNTALTENSE S.A.;502;NO;296.163,47;191.334;205.478;0,828;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,50;0,00;4.573,71;3,37;7,00;1,00000
Diciembre (2013);BUENOS AIRES;CORONEL ROSALES;33-70982996-9;COMPAÑIA PUNTALTENSE S.A.;504;NO;265.102,88;162.962;190.825;0,828;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,33;0,00;3.895,50;2,24;4,67;1,00000
Diciembre (2013);BUENOS AIRES;CORONEL ROSALES;33-70982996-9;COMPAÑIA PUNTALTENSE S.A.;504b;NO;870.713,25;524.206;618.701;0,828;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,17;0,00;12.530,79;7,85;16,33;1,00000
Diciembre (2013);BUENOS AIRES;ESCOBAR;20-04746990-3;SPEN NORBERTO MARIO;504;SI;237.959,68;511.012;314.726;0,186;0,473;0,473;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,64;0,00;3.237,17;1,43;4,28;1,00000
Diciembre (2013);BUENOS AIRES;ESCOBAR;20-04746990-3;SPEN NORBERTO MARIO;504B;SI;112.379,34;83.767;132.210;0,186;0,473;0,473;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,47;0,00;530,65;0,26;0,77;1,00000
Diciembre (2013);BUENOS AIRES;ESCOBAR;20-04746990-3;SPEN NORBERTO MARIO;507;SI;436.662,09;188.352;485.179;0,186;0,473;0,473;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,89;0,00;1.193,18;1,02;3,07;1,00000
Diciembre (2013);BUENOS AIRES;ESCOBAR;30-68679471-3;LINEA SESENTA S.A.;503;SI;2.980.604,50;1.674.807;3.102.312;0,808;1,000;0,913;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;24,36;0,79;53.187,50;24,36;51,81;0,96875
Diciembre (2013);BUENOS AIRES;ESCOBAR;30-68679471-3;LINEA SESENTA S.A.;509;SI;998.335,80;291.318;969.240;0,808;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,64;0,21;9.251,50;6,64;14,13;0,96875
Diciembre (2013);BUENOS AIRES;ESCOBAR;30-69225833-5;MICRO OMNIBUS TIGRE S.A.;505;SI;1.271.499,75;255.658;1.005.780;0,778;0,778;0,778;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,67;0,00;8.577,31;4,67;14,00;1,00000
Diciembre (2013);BUENOS AIRES;ESCOBAR;30-69225833-5;MICRO OMNIBUS TIGRE S.A.;506;SI;787.307,88;367.162;590.938;0,778;0,778;0,778;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,33;0,00;12.318,26;2,33;7,00;1,00000
Diciembre (2013);BUENOS AIRES;ESCOBAR;30-69225833-5;MICRO OMNIBUS TIGRE S.A.;508;SI;1.114.202,13;460.152;1.006.615;0,778;0,778;0,778;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,22;0,00;15.438,06;6,22;18,67;1,00000
Diciembre (2013);BUENOS AIRES;ESCOBAR;30-69225833-5;MICRO OMNIBUS TIGRE S.A.;511;SI;1.115.352,50;221.489;926.330;0,778;0,778;0,778;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,89;0,00;7.430,94;3,89;11,67;1,00000
Diciembre (2013);BUENOS AIRES;ESCOBAR;30-69225833-5;MICRO OMNIBUS TIGRE S.A.;513;SI;1.071.353,88;285.021;847.068;0,778;0,778;0,778;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,89;0,00;9.562,43;3,89;11,67;1,00000
Diciembre (2013);BUENOS AIRES;ESTEBAN ECHEVERRIA;30-54633296-5;EMPRESA MONTE GRANDE S.A. LINEA 501;501;SI;24.817.284,00;7.581.676;21.148.896;0,875;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;99,00;1,00;247.256,00;99,00;297,00;0,99000
Diciembre (2013);BUENOS AIRES;EXALTACION DE LA CRUZ;30-70790289-9;RUTA BUS SA;501;SI;272.695,59;402.756;208.905;0,834;1,000;0,852;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,00;0,00;13.026,00;4,00;9,65;1,00000
Diciembre (2013);BUENOS AIRES;EZEIZA;30-69305982-4;EMPRESA J.M. EZEIZA S.R.L.;518;SI;10.637.746,00;4.551.683;9.678.971;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;61,71;0,00;214.655,30;61,71;185,14;1,00000
Diciembre (2013);BUENOS AIRES;EZEIZA;30-69305982-4;EMPRESA J.M. EZEIZA S.R.L.;518-1;SI;759.688,06;349.920;678.807;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,09;0,00;16.502,07;3,09;9,26;1,00000
Diciembre (2013);BUENOS AIRES;EZEIZA;30-69305982-4;EMPRESA J.M. EZEIZA S.R.L.;518-2;SI;536.995,88;314.820;479.824;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,09;0,00;14.846,77;3,09;9,26;1,00000
Diciembre (2013);BUENOS AIRES;EZEIZA;30-69305982-4;EMPRESA J.M. EZEIZA S.R.L.;518-3;SI;338.343,50;218.040;302.321;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,06;0,00;10.282,67;2,06;6,17;1,00000
Diciembre (2013);BUENOS AIRES;EZEIZA;30-69305982-4;EMPRESA J.M. EZEIZA S.R.L.;518-4;SI;270.228,44;210.672;241.458;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,06;0,00;9.935,20;2,06;6,17;1,00000
Diciembre (2013);BUENOS AIRES;FLORENCIO VARELA;30-54622889-0;MICRO OMNIBUS PRIMERA JUNTA S.A.;501;SI;971.545,50;273.519;908.695;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,00;0,00;10.088,84;9,00;25,46;1,00000
Diciembre (2013);BUENOS AIRES;FLORENCIO VARELA;30-54622889-0;MICRO OMNIBUS PRIMERA JUNTA S.A.;504;SI;1.144.274,25;625.565;1.071.126;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,00;0,00;23.074,16;9,00;25,46;1,00000
Diciembre (2013);BUENOS AIRES;FLORENCIO VARELA;30-54669877-3;COMPANIA MICROOMNIBUS LA COLORADA SACI;FV505;SI;5.104.239,00;1.592.678;4.030.740;0,622;1,000;0,929;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;21,00;0,00;40.619,00;21,00;51,97;1,00000
Diciembre (2013);BUENOS AIRES;FLORENCIO VARELA;30-56183751-8;TREINTA DE AGOSTO SOCIEDAD ANÓNIMA;500;SI;2.952.447,00;1.355.992;2.461.999;0,512;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;NO;SI;SI;36,97;0,36;28.026,29;24,02;72,05;0,99038
Diciembre (2013);BUENOS AIRES;FLORENCIO VARELA;30-56183751-8;TREINTA DE AGOSTO SOCIEDAD ANÓNIMA;503;SI;1.574.150,00;722.971;1.319.150;0,512;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;NO;SI;SI;10,56;0,10;14.942,71;6,86;20,59;0,99038
Diciembre (2013);BUENOS AIRES;FLORENCIO VARELA;30-56183751-8;TREINTA DE AGOSTO SOCIEDAD ANÓNIMA;506;SI;2.760.254,00;763.326;2.352.710;0,512;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;NO;SI;SI;10,56;0,10;15.776,78;6,86;20,59;0,99038
